Call Information,,,,,,,Put Information
Underlying Ticker,Bid,Ask,Volume,Open Interest,Expiration Date,Strike Price,Underlying Ticker,Bid,Ask,Volume,Open Interest,Expiration Date
IBM160708C00140000,11.85,12.10,50,61,2016-07-08,140.00,IBM160708P00120000,0.05,0.06,21,229,2016-07-08
,,,,,,141.00,IBM160708P00125000,0.04,0.19,9,9,2016-07-08
IBM160708C00142000,6.65,6.85,2,46,2016-07-08,142.00,IBM160708P00130000,0.03,0.13,1,3,2016-07-08
IBM160708C00143000,5.75,5.90,105,97,2016-07-08,143.00
IBM160708C00144000,7.85,8.10,7,21,2016-07-08,144.00
IBM160708C00145000,6.95,7.15,13,134,2016-07-08,145.00
IBM160708C00146000,6.00,6.15,15,101,2016-07-08,146.00
IBM160708C00147000,5.05,5.20,122,270,2016-07-08,147.00
IBM160708C00148000,4.15,4.30,26,87,2016-07-08,148.00
IBM160708C00149000,3.30,3.45,66,142,2016-07-08,149.00,IBM160708P00138000,0.06,0.09,6,11,2016-07-08
IBM160708C00150000,2.56,2.67,304,366,2016-07-08,150.00,IBM160708P00139000,0.06,0.13,5,68,2016-07-08
IBM160708C00152500,1.06,1.15,131,489,2016-07-08,152.50,IBM160708P00140000,0.17,0.22,1,96,2016-07-08
IBM160708C00155000,0.28,0.34,289,465,2016-07-08,155.00,IBM160708P00141000,0.08,0.11,11,62,2016-07-08
IBM160708C00157500,0.04,0.07,13,462,2016-07-08,157.50,IBM160708P00142000,0.09,0.13,63,154,2016-07-08
IBM160708C00160000,0.02,0.10,29,103,2016-07-08,160.00,IBM160708P00143000,0.10,0.13,22,78,2016-07-08
IBM160708C00162500,0.01,0.06,1,111,2016-07-08,162.50,IBM160708P00144000,0.11,0.15,19,59,2016-07-08
IBM160708C00165000,0.08,0.13,1,5,2016-07-08,165.00,IBM160708P00145000,0.14,0.19,41,201,2016-07-08
,,,,,,170.00,IBM160708P00146000,0.17,0.23,19,80,2016-07-08
