Underlying Ticker,Strike Price,Ask,Bid
AAPL160304C00070000,70.00,27.05,26.75
AAPL160304C00075000,75.00,22.05,21.75
AAPL160304C00080000,80.00,17.05,16.80
AAPL160304C00085000,85.00,12.05,11.85
AAPL160304C00085500,85.50,11.60,11.35
AAPL160304C00086000,86.00,11.10,10.85
AAPL160304C00086500,86.50,10.60,10.35
AAPL160304C00087000,87.00,10.10,9.85
AAPL160304C00087500,87.50,9.60,9.40
AAPL160304C00088000,88.00,9.10,8.90
AAPL160304C00088500,88.50,8.60,8.40
AAPL160304C00089000,89.00,8.10,7.90
AAPL160304C00089500,89.50,7.60,7.40
AAPL160304C00090000,90.00,7.15,6.95
AAPL160304C00090500,90.50,6.65,6.45
AAPL160304C00091000,91.00,6.15,5.95
AAPL160304C00091500,91.50,5.65,5.45
AAPL160304C00092000,92.00,5.20,5.00
AAPL160304C00092500,92.50,4.70,4.50
AAPL160304C00093000,93.00,4.20,4.05
AAPL160304C00093500,93.50,3.80,3.60
AAPL160304C00094000,94.00,3.30,3.15
AAPL160304C00094500,94.50,2.86,2.78
AAPL160304C00095000,95.00,2.45,2.37
AAPL160304C00095500,95.50,2.07,2.00
AAPL160304C00096000,96.00,1.71,1.65
AAPL160304C00096500,96.50,1.38,1.33
AAPL160304C00097000,97.00,1.09,1.05
AAPL160304C00097500,97.50,0.85,0.81
AAPL160304C00098000,98.00,0.63,0.60
AAPL160304C00098500,98.50,0.46,0.44
AAPL160304C00099000,99.00,0.33,0.30
AAPL160304C00099500,99.50,0.23,0.21
AAPL160304C00100000,100.00,0.16,0.15
AAPL160304C00101000,101.00,0.09,0.06
AAPL160304C00102000,102.00,0.05,0.04
AAPL160304C00103000,103.00,0.03,0.01
AAPL160304C00104000,104.00,0.03,0.01
AAPL160304C00105000,105.00,0.03,0.01
AAPL160304C00106000,106.00,0.02,0.01
AAPL160304C00108000,108.00,0.02,0.00
AAPL160304C00109000,109.00,0.02,0.00
AAPL160304C00110000,110.00,0.01,0.00
AAPL160304C00115000,115.00,0.02,0.00
AAPL160304C00120000,120.00,0.02,0.00
