Underlying Ticker,Strike Price,Ask,Bid,Volume,Open Interest
TSLA160311C00140000,140.00,68.40,65.05,3,12
TSLA160311C00144000,144.00,64.05,60.80,7,2
TSLA160311C00145000,145.00,62.75,59.95,4,7
TSLA160311C00148000,148.00,60.65,57.50,1,1
TSLA160311C00150000,150.00,58.50,55.35,5,33
TSLA160311C00152500,152.50,56.35,52.85,1,6
TSLA160311C00155000,155.00,53.45,51.00,14,30
TSLA160311C00157500,157.50,50.45,47.45,13,30
TSLA160311C00160000,160.00,48.15,45.85,13,31
TSLA160311C00162500,162.50,45.90,42.95,8,11
TSLA160311C00165000,165.00,43.45,40.55,1,95
TSLA160311C00167500,167.50,40.05,37.60,1,40
TSLA160311C00170000,170.00,38.80,35.85,10,116
TSLA160311C00172500,172.50,35.90,33.25,1,66
TSLA160311C00175000,175.00,33.40,31.10,3,100
TSLA160311C00177500,177.50,30.95,28.15,6,56
TSLA160311C00180000,180.00,28.30,26.10,107,331
TSLA160311C00182500,182.50,26.35,23.95,20,141
TSLA160311C00185000,185.00,23.70,21.55,38,277
TSLA160311C00187500,187.50,20.45,18.90,14,148
TSLA160311C00190000,190.00,19.00,16.95,234,707
TSLA160311C00192500,192.50,16.25,14.05,22,331
TSLA160311C00195000,195.00,13.25,12.40,190,849
TSLA160311C00197500,197.50,11.15,10.70,336,976
TSLA160311C00200000,200.00,8.95,8.55,"1,577","1,100"
TSLA160311C00202500,202.50,7.15,6.70,"1,185","1,697"
TSLA160311C00205000,205.00,6.00,5.65,"2,713",803
TSLA160311C00207500,207.50,4.65,4.40,728,328
TSLA160311C00210000,210.00,3.45,3.40,"3,329",999
TSLA160311C00212500,212.50,2.71,2.54,"1,239",364
TSLA160311C00215000,215.00,1.75,1.70,"1,934",814
TSLA160311C00217500,217.50,1.46,1.39,340,247
TSLA160311C00220000,220.00,1.10,1.02,"4,878",593
TSLA160311C00222500,222.50,0.75,0.70,599,52
TSLA160311C00225000,225.00,0.60,0.56,370,265
TSLA160311C00230000,230.00,0.45,0.23,638,407
TSLA160311C00235000,235.00,0.27,0.16,351,9
TSLA160311C00240000,240.00,0.22,0.13,230,198
TSLA160311C00245000,245.00,0.17,0.11,145,48
TSLA160311C00250000,250.00,0.13,0.08,390,137
TSLA160311C00255000,255.00,0.12,0.02,37,3
TSLA160311C00260000,260.00,0.11,0.02,37,9
TSLA160311C00265000,265.00,0.50,0.01,37,36
